RT @NixonLibrary: #FabulousFLOTUSFriday  First Lady Pat Nixon and the President's dog King Timahoe at Casa Pacifica in nearby San Clemente…
RT @ikelib: Dreams Take Flight at Eisenhower! https://t.co/5bbQhaLhwG
RT @NixonLibrary: #OTD 3/1/1973 Prime Minister of Israel Golda Meir, President Nixon, and Dr. Henry Kissinger in the Oval Office. (Image: W…
RT @WhiteHouseHstry: Our current project on Life in the 20th Century White House is adding thousands of behind the scenes images of the Fir…
RT @ikelib: Pre-School Fair https://t.co/DjndtL1pRK
RT @ikelib: https://t.co/BSoV9IceP4
RT @ikelib: The Saint Monica Academy preschool program provides developmentally appropriate activities for your child.		On Tuesday, March 5…
RT @USNatArchives: Col. Percy Wyndham, he of the perfectly pointed beard and mustache, was an Englishman and a #CivilWar veteran  https://t…
RT @ikelib: Congratulations Taylor! https://t.co/Jpx450VBjF
RT @NixonLibrary: #OTD 3/2/69 President Nixon and French President de Gaulle.	Also shown: H. R. Haldeman, John Ehrlichman, Henry Kissinger,…
RT @Bush41Library: President Bush visits with actor Arnold Schwarzenegger, Chairman of the President's Council on Physical Fitness and Spor…
RT @BRInstitute: Be sure to check out the recording of our latest #educator #webinar here! https://t.co/g9PvB0psvC https://t.co/511mJmJTK4
RT @BRInstitute: Be sure to frequently check our #currentevents page for updates on what is happening in the country related to constitutio…
$5 for a $10 #Starbucks eGift Card https://t.co/ZbFdgtcJBz https://t.co/IiSLxFIujk
RT @JFKLibrary: This fall, more than 500 high school students from around Massachusetts participated in the 2018 Election-Year Debate Progr…
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/n8VxyuONm3
Who was the first President to live in the White House? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/oVHBqfniER
Before the Twelfth Amendment was passed in 1804, how was the Vice President determined? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/GeJnsgZK5d
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/F3WjKiadC1
Who was the only unanimously elected President by the Electoral College? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/dkwTZaPKlS
Who was the only President to serve more than two terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for FOLLOWING US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/pIh4CB5AAb
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/8gvfkB5JXY
Who was the first President to be impeached? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/5u1bv9ewiB
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/pMfZe21zxu
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/b3GP0Z8Bg8
Who was the only President to serve two non-consecutive terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for the FOLLOW on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/V9D6RKjv1A
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/3BSvm507Th
Which U.S. President signed the treaty to purchase Alaska from Russia? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/aGYoHDpql5
Who was the first President to appear on TV? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/rNvH6alJpK
Who was the first President to appoint an African American to the Supreme Court? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/UL6L6LqmOF
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/SqOubzF9fE
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/S8ufdyr3ay
Who was the first President born outside the contiguous United States? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/Qz03fCTbSS
Who was the first President to live in the White House? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/BDEbBrHAU1
Before the Twelfth Amendment was passed in 1804, how was the Vice President determined? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HaUYZO https://t.co/5NmRO1Mskv
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/0rQsoEQ30Y
Who was the only unanimously elected President by the Electoral College? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/QZdrJDk9ju
Who was the only President to serve more than two terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for FOLLOWING US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/yL6U1gycat
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/GkgFN8AHOs
Who was the first President to be impeached? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/b2KVxjm5Lp
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/aQQzhOISJV
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/xSU1sTLWNT
Who was the only President to serve two non-consecutive terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for the FOLLOW on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/hNNZgrV12v
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/kIsUmHTPuR
Which U.S. President signed the treaty to purchase Alaska from Russia? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/Ni36zTrybn
Who was the first President to appear on TV? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/3WB4V1ZVwu
Who was the first President to appoint an African American to the Supreme Court? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/Fj9nh4KPQC
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/MdeC8Z0AUJ
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/8YB7Lx7rZq
Who was the first President born outside the contiguous United States? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/BEZqdEMxQJ
Who was the first President to live in the White House? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/NfnW3C2E1s
Before the Twelfth Amendment was passed in 1804, how was the Vice President determined? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/PnY4DAFmdM
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/dh9cokeKZP
Who was the only unanimously elected President by the Electoral College? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/el35E22PXq
Who was the only President to serve more than two terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for FOLLOWING US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/btUFSS6w8A
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/Oaar8OXwbn
Who was the first President to be impeached? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/Ss0JAN9hgs
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/Nu0UyseID0
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/IZqpp60K9H
Who was the only President to serve two non-consecutive terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for the FOLLOW on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/I1wykTPiip
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/7et4RmdtHi
Which U.S. President signed the treaty to purchase Alaska from Russia? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/v5UOHmxDgR
Who was the first President to appear on TV? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/W3UBoyOPC7
Who was the first President to appoint an African American to the Supreme Court? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/AX7EAJPQJm
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/Qtr50TzkTv
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/BIMX5Fo0XR
Who was the first President born outside the contiguous United States? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/sVWtvflqqq
Who was the first President to live in the White House? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/MRb5PpIUf1
Before the Twelfth Amendment was passed in 1804, how was the Vice President determined? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/YFk2il51Jj
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/0qUEuARZut
Who was the only unanimously elected President by the Electoral College? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HaUYZO https://t.co/nrcbTLhUUG
Who was the only President to serve more than two terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for FOLLOWING US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/DEhGSIlz8C
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/PZ7bjHYKZi
Who was the first President to be impeached? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/X6HSdWpr04
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/Yo2VFWMKY2
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/Dmgy2yLfSr
Who was the only President to serve two non-consecutive terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for the FOLLOW on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/zv8KDj7G3O
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/iaFClZxisx
Which U.S. President signed the treaty to purchase Alaska from Russia? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/JEV8fkkCuD
Who was the first President to appear on TV? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/ws3skjQ8lU
Who was the first President to appoint an African American to the Supreme Court? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/NpMxNKhvfi
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/4U0Z6TjWg0
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/qrzY43FdjV
Who was the first President born outside the contiguous United States? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/mHSRK1dV9s
